time,N,H,I,N_stoch,H_stoch,I_stoch
29.6,4.325047498877742,48.13380513277979,18.449902784254437,4.273337935173954,47.943428183549436,18.413287856742073
29.700000000000003,4.2957379101799615,47.86930654312586,18.396537279426166,4.247009827480999,47.67766079847264,18.359579817756693
29.8,4.267294553387878,47.60600326691845,18.343228064727573,4.2172473383125615,47.41323468186196,18.305921697006355
29.900000000000002,4.23969182192562,47.34392587897768,18.289983169355086,4.179619434067458,47.149964701958964,18.252328412941097
30.0,4.212904874340951,47.08310337432945,18.236810346124848,4.1563052766270046,46.88744602664275,18.198804612356053
30.1,4.186909606343644,46.823563234621155,18.18371708202326,4.142540840315271,46.62638683020767,18.14533793764286
30.200000000000003,4.161682615346261,46.56533151307807,18.13071061341399,4.108563623796692,46.367250003921356,18.09194689743022
30.3,4.1372011934351836,46.308432849245094,18.07779792561381,4.090770043142682,46.10900568507198,18.038664981428447
30.400000000000002,4.1134433064460945,46.052890518064075,18.024985760211802,4.065969165900635,45.85245413037839,17.985478062548836
30.5,4.0903875723544205,45.79872648066352,17.972280623936108,4.043602241705938,45.59722804736964,17.93240695113361
30.6,4.068013237474681,45.54596144062379,17.919688805473463,4.015635059577113,45.34343587898124,17.879453873456068
30.700000000000003,4.046300163053812,45.294614874473844,17.86721637290634,3.9930507212255066,45.09078327317028,17.82662514644826
30.8,4.025228806918359,45.0447050744802,17.81486918211364,3.98148140354682,44.83952797649985,17.77391427961844
30.900000000000002,4.004780205120411,44.79624919146317,17.76265288319988,3.965721996751051,44.590206766912196,17.721326540388038
31.0,3.9849359507667885,44.54926328464,17.710572918681553,3.957706437428996,44.342590799080625,17.668887841203397
31.1,3.965678182309676,44.303762347973816,17.658634537154196,3.9464218509327877,44.09705021296127,17.616610167823445
31.200000000000003,3.946989566901275,44.059760348815004,17.60684279680613,3.9308062233961167,43.8534008033783,17.564518254799243
31.3,3.9288532831894214,43.817270267905684,17.555202570375418,3.923911647080027,43.61140710651432,17.512625005496506
31.400000000000002,3.9112530091122606,43.57630412722805,17.503718548466445,3.9089707341853157,43.37148861780318,17.460931741758923
31.5,3.8941729003504135,43.336873040498915,17.452395247419204,3.8969382691884937,43.133222268334414,17.409456623892844
31.6,3.8775975850289144,43.098987224086585,17.401237008720596,3.878154441710804,42.8967369591105,17.358197765571795
31.700000000000003,3.861512145526101,42.862656039430306,17.35024800984514,3.8622306811532185,42.66167731160493,17.30715912910913
31.8,3.8459021030897165,42.62788802868994,17.299432291469987,3.8419528651664385,42.428172072546545,17.256330049035164
31.900000000000002,3.8307534067988525,42.394690939611586,17.248793748635098,3.832952957549907,42.1959879950794,17.20570734739533
32.0,3.8160524219905136,42.163071751762295,17.198336107660804,3.810512122374867,41.965675763006104,17.155279430366505
32.1,3.8017859169924937,41.9330367069236,17.148062937389152,3.8011447767241258,41.736544611494786,17.10505920776147
32.2,3.787941051143364,41.70459133639363,17.097977667774632,3.78590465026233,41.50923640421605,17.055029851599713
32.300000000000004,3.7745053632796317,41.477740487134234,17.04808359708765,3.779735127790878,41.283439272687005,17.00520364379957
32.4,3.7614667595211193,41.252488349563066,16.998383887302005,3.771091986414708,41.05959163634968,16.955578405214588
32.5,3.7488135051053835,41.02883847556971,16.9488815780401,3.7694740041650627,40.83755031930692,16.90617019931346
32.6,3.7365342105602632,40.806793810266264,16.8995795873063,3.7610116090009194,40.617648516322106,16.856986705055263
32.7,3.72461782418239,40.58635670844992,16.85048070075703,3.7382388051682165,40.39952261160893,16.80804784126027
32.800000000000004,3.7130536157494847,40.36752897150733,16.801587582375067,3.725668191967303,40.182439325751254,16.759355666935253
32.9,3.7018311897737988,40.15031181746963,16.75290277575702,3.7064857218828857,39.96689834209211,16.7108828931071
33.0,3.6909404329557116,39.93470599885286,16.704428725494495,3.692013260691938,39.75255364476533,16.66262754805848
33.1,3.6803715456137356,39.720711732143606,16.65616776022435,3.6908107106991044,39.53962877135227,16.61457449660163
33.2,3.670115014554193,39.50832875818411,16.608122106019945,3.684118507233739,39.3287730191737,16.56672060149107
