node_id,tier,body_id,nx,ny,nz,tbars,body_size,soma_side
224,T2_mushroom_body,10908,50774.0,12500.0,29500.0,3048,3926626226,L
225,T2_mushroom_body,10082,24458.0,16362.0,26129.0,5227,8543794949,R
226,T2_mushroom_body,514324,69634.0,15506.0,32692.0,1452,1107730212,L
227,T2_mushroom_body,11260,49008.0,16902.0,34464.0,3982,5467226436,L
228,T2_mushroom_body,10719,23053.0,14740.0,25821.0,4857,5703426964,R
229,T2_mushroom_body,11658,73560.0,14872.0,30902.0,2157,2803706220,L
230,T2_mushroom_body,10436,28253.0,29453.0,42004.0,5089,6961017642,R
231,T2_mushroom_body,520122,50650.0,46756.0,30992.0,2363,1799763885,L
232,T2_mushroom_body,515811,42576.0,13551.0,31979.0,1489,1221102285,R
233,T2_mushroom_body,13428,33889.0,15064.0,33926.0,1230,2125404459,R
234,T2_mushroom_body,10329,36312.0,19484.0,36124.0,1784,3225953923,R
235,T2_mushroom_body,513565,35568.0,40600.0,31662.0,1445,2924932672,R
236,T2_mushroom_body,10117,36822.0,21228.0,35442.0,1023,9645922198,R
237,T2_mushroom_body,12151,48922.0,43966.0,36072.0,1786,2856318663,M
238,T2_mushroom_body,41086,63605.0,12071.0,33628.0,1454,1692934257,L
239,T2_mushroom_body,12706,53868.0,11196.0,29595.0,2590,2793702045,L
240,T2_mushroom_body,14350,63645.0,16008.0,34255.0,1640,1289208652,L
241,T2_mushroom_body,83661,48189.0,47477.0,32977.0,1013,1840756009,R
242,T2_mushroom_body,520034,71051.0,14197.0,23483.0,6019,5575444137,L
243,T2_mushroom_body,12283,65592.0,22874.0,35240.0,2472,2170359957,L
244,T2_mushroom_body,12055,55766.0,19356.0,36244.0,2088,2408221921,L
245,T2_mushroom_body,10532,50371.0,15808.0,32848.0,1407,2955155715,L
246,T2_mushroom_body,13232,49881.0,46262.0,33656.0,1259,1783130984,L
247,T2_mushroom_body,11339,50922.0,10984.0,29558.0,2200,3017213452,L
248,T2_mushroom_body,11330,61102.0,27070.0,37110.0,2174,2349115231,L
249,T2_mushroom_body,20418,45900.0,8479.0,26583.0,3908,5985051934,R
250,T3_neurosecretory,13303,48894.0,47703.0,25936.0,728,1430771906,L
251,T3_neurosecretory,11211,45404.0,48928.0,28412.0,1064,2286457771,R
252,T3_neurosecretory,13445,49181.0,47922.0,34032.0,816,1562994353,L
253,T3_neurosecretory,12170,48066.0,48255.0,33992.0,547,1341843515,R
254,T3_neurosecretory,10336,48664.0,47520.0,31421.0,763,3068830720,R
255,T3_neurosecretory,11930,49082.0,48087.0,25045.0,1526,2339107253,L
256,T3_neurosecretory,12378,47162.0,48626.0,33550.0,348,2172550087,R
257,T3_neurosecretory,14012,48144.0,47577.0,32097.0,623,1330140540,R
258,T3_neurosecretory,63880,49406.0,48946.0,26540.0,1725,2455031637,L
259,T3_neurosecretory,10643,48438.0,49254.0,27228.0,1051,3545341525,R
260,T3_neurosecretory,10806,45762.0,48922.0,26972.0,3008,4426730961,R
261,T3_neurosecretory,11164,46798.0,48212.0,31737.0,1803,3571290651,R
262,T3_neurosecretory,15195,47147.0,48336.0,32206.0,654,1137006700,R
263,T3_neurosecretory,520862,47726.0,48354.0,33090.0,1360,1797741207,R
264,T3_neurosecretory,11653,47602.0,46998.0,31012.0,1320,2809357158,R
265,T3_neurosecretory,10131,46561.0,48451.0,25687.0,2228,8407403671,R
266,T3_neurosecretory,524847,48140.0,49112.0,26556.0,146,298386928,R
267,T3_neurosecretory,12794,47892.0,47405.0,28408.0,729,1885244109,R
268,T3_neurosecretory,11125,48058.0,48326.0,25614.0,2085,2670329490,R
269,T3_neurosecretory,11025,48326.0,47866.0,25182.0,1998,2295278450,L
270,T4_immune,33139,22534.0,33580.0,43556.0,172,359286876,R
271,T4_immune,41996,24688.0,32790.0,43724.0,128,284064887,R
272,T4_immune,35191,18817.0,36039.0,43633.0,282,341548065,R
273,T4_immune,36348,48918.0,43152.0,53360.0,1,327522842,L
274,T4_immune,39282,23861.0,31577.0,43646.0,196,303498572,R
275,T4_immune,57969,22804.0,37070.0,43690.0,169,303363053,R
276,T4_immune,42642,25167.0,31828.0,43865.0,154,280020685,R
277,T4_immune,14110,48679.0,38639.0,41824.0,712,1412730427,M
278,T4_immune,49006,53992.0,40470.0,56018.0,6,244718461,L
279,T4_immune,27142,18754.0,36272.0,43260.0,290,455293156,R
280,T4_immune,44265,26752.0,35358.0,43730.0,228,272536263,R
281,T4_immune,10034,70147.0,31256.0,39682.0,583,17537105174,L
282,T4_immune,46115,24582.0,37971.0,43828.0,223,260558727,R
283,T4_immune,13069,48064.0,38840.0,42109.0,1022,1933721524,M
284,T4_immune,47183,26805.0,32270.0,44007.0,158,253670227,R
285,T4_immune,29894,21156.0,36568.0,43290.0,277,402167639,R
286,T4_immune,51180,22252.0,33905.0,43854.0,171,235028268,R
287,T4_immune,37962,21320.0,36602.0,43664.0,203,314094649,R
288,T4_immune,23980,28053.0,36495.0,42889.0,559,535679016,R
289,T4_immune,38704,20076.0,33258.0,43743.0,261,307944862,R
290,T4_immune,10419,69809.0,34598.0,39220.0,775,16900431178,L
291,T4_immune,34541,23132.0,35384.0,43490.0,273,446432769,R
292,T4_immune,48474,23986.0,38614.0,43515.0,256,318941865,R
293,T4_immune,39356,26262.0,32430.0,43592.0,233,302784340,R
294,T4_immune,30797,16612.0,34740.0,43650.0,307,388433083,R
295,T4_immune,73380,51136.0,37306.0,45854.0,61,164577942,L
296,T4_immune,53359,19571.0,34950.0,43816.0,242,233569780,R
297,T4_immune,57270,21979.0,33594.0,43972.0,165,210730632,R
298,T4_immune,43640,24434.0,36927.0,43828.0,296,280935540,R
299,T4_immune,47500,27214.0,32331.0,43900.0,134,252400166,R
300,T4_immune,11709,70431.0,28157.0,42325.0,2383,3818762061,L
301,T4_immune,27042,16898.0,36778.0,43222.0,364,453610074,R
302,T4_immune,10447,47540.0,38029.0,41426.0,1930,3487182625,M
303,T4_immune,12526,48942.0,40718.0,43610.0,1246,2075606777,L
304,T4_immune,36749,22702.0,31034.0,43604.0,211,324329682,R
305,T4_immune,44927,26279.0,32266.0,44120.0,181,266116699,R
306,T4_immune,50158,49556.0,42722.0,53888.0,0,239431717,L
307,T4_immune,29953,22246.0,37074.0,43582.0,324,438319991,R
308,T4_immune,14416,25805.0,27300.0,43272.0,171,1330539766,R
309,T4_immune,20939,27692.0,33604.0,42992.0,527,731478059,R
310,T4_immune,28118,21154.0,37248.0,43610.0,288,431904278,R
311,T4_immune,26508,17286.0,37358.0,43616.0,351,464018876,R
312,T4_immune,32882,20386.0,38350.0,43326.0,211,367193579,R
313,T4_immune,522954,68576.0,31036.0,42562.0,440,1415721755,L
314,T4_immune,529569,48750.0,44740.0,41368.0,1108,1871775154,L
315,T4_immune,12852,49126.0,38319.0,41694.0,1026,1892436356,M
316,T4_immune,26018,49900.0,39344.0,43010.0,343,474853445,M
317,T4_immune,33280,19598.0,36730.0,43414.0,253,361399667,R
318,T4_immune,39985,21094.0,35103.0,43845.0,309,317512155,R
319,T4_immune,38798,21611.0,38064.0,43622.0,218,307351653,R
320,T4_immune,28497,18662.0,35386.0,43338.0,268,424963002,R
321,T4_immune,31085,22322.0,28266.0,43556.0,241,386594098,R
322,T4_immune,20218,28330.0,33138.0,42416.0,517,702317162,R
323,T4_immune,25222,19685.0,29901.0,43517.0,367,501991984,R
324,T4_immune,31951,24572.0,38532.0,43284.0,219,373430972,R
325,T4_immune,36458,17520.0,35592.0,43456.0,214,331501775,R
326,T4_immune,27633,24030.0,31963.0,43611.0,248,441372608,R
327,T4_immune,36089,26221.0,36586.0,43936.0,269,329583767,R
328,T4_immune,35465,25342.0,35480.0,43688.0,123,338378414,R
329,T4_immune,545123,71685.0,28825.0,43012.0,952,4504180088,L
330,T4_immune,30922,25740.0,39231.0,43330.0,257,386556986,R
331,T4_immune,522952,69739.0,29800.0,42984.0,440,977793082,L
332,T4_immune,10503,24633.0,30724.0,43682.0,8991,7560941509,R
333,T4_immune,33815,17992.0,36265.0,43541.0,256,351773460,R
334,T4_immune,31680,22818.0,34540.0,43454.0,311,376649480,R
335,T4_immune,11249,48903.0,37966.0,40832.0,2908,3407603712,M
336,T4_immune,13310,71372.0,29212.0,42408.0,2004,3421407772,L
337,T4_immune,38681,26116.0,38622.0,43635.0,144,308348019,R
338,T4_immune,21871,27536.0,33608.0,43666.0,450,601101888,R
339,T4_immune,33623,25949.0,36668.0,43560.0,227,354011669,R
340,T4_immune,36220,26471.0,32576.0,43944.0,165,328770455,R
341,T4_immune,28081,23266.0,30652.0,43478.0,268,432496206,R
342,T4_immune,39804,17136.0,34011.0,43597.0,192,321533679,R
343,T4_immune,41014,20292.0,34406.0,43726.0,234,298743861,R
344,T4_immune,12188,48717.0,44278.0,41085.0,844,2288216230,R
345,T4_immune,29835,21160.0,32768.0,43146.0,306,404501156,R
346,T4_immune,27928,19690.0,36460.0,43700.0,288,441380872,R
347,T4_immune,27807,26368.0,35945.0,43488.0,500,437744233,R
348,T4_immune,15348,27164.0,31704.0,42768.0,422,1136840529,R
349,T4_immune,43225,24398.0,36616.0,43494.0,325,287127730,R
350,T4_immune,29508,22998.0,39026.0,43382.0,315,408981699,R
351,T4_immune,42434,23200.0,32028.0,43854.0,255,284877147,R
352,T4_immune,10403,26398.0,28341.0,43185.0,467,6481802211,R
353,T4_immune,41209,24471.0,33244.0,43994.0,195,290502785,R
354,T4_immune,33862,22851.0,33392.0,43946.0,311,351428253,R
355,T4_immune,35484,23545.0,30792.0,43837.0,241,335226713,R
356,T4_immune,21572,69748.0,30369.0,43076.0,276,630187216,L
357,T4_immune,27556,19840.0,35250.0,43629.0,346,484260550,R
358,T4_immune,11134,25202.0,28480.0,43526.0,983,4191593543,R
359,T4_immune,10452,72710.0,30146.0,42807.0,6662,6829114234,L
360,T4_immune,41741,21214.0,34310.0,43806.0,200,285600696,R
